,1,key,labels,0
0,-14.624026,12447040740,2,0.46183
1,9.418755,7121667667,5,0.87110174
2,6.550908,9580327249,2,0.5350739
3,-8.086157,2919066156,2,0.52539414
4,2.9633172,3968141413,1,0.1602331
5,11.541984,9053266488,5,0.96096563
6,-9.724138,6736028028,1,0.31308946
7,3.2250867,7212584868,5,0.9032245
8,2.6427686,2657225570,1,0.18053472
9,3.1215036,11665212064,1,0.09643648
10,7.4916477,9338608536,5,0.91316795
11,0.22056128,2646994294,1,0.08194508
12,-11.89229,8798826609,2,0.5694535
13,-4.496117,9037680790,1,0.014742791
14,2.628952,2924209675,1,0.20429537
15,6.3636584,964498611,2,0.52962697
16,-2.663685,7003997707,2,0.44819427
17,-3.4964287,7334700519,1,0.11616308
18,-1.6389171,8646792269,1,0.22147582
19,12.614245,4380342508,5,0.8828162
20,-8.289022,7762453413,4,0.8206401
21,8.469669,5670826260,5,0.91217476
22,14.067215,8168842570,0,0.62780404
23,-9.866583,6197658082,1,0.11095893
24,8.939539,2814698921,2,0.43561417
25,6.028723,2421186704,2,0.5436199
26,-11.71232,6841247463,3,0.722111
27,-7.064859,9320060198,1,0.33848384
28,1.5249512,5428226435,4,0.6057739
29,-7.273666,2810945000,4,0.652481
30,9.042709,10366937488,4,0.661974
31,-6.0583944,2932952605,1,0.08597749
32,14.483706,7650427640,0,0.7000221
33,17.132294,5430916452,3,0.7049102
34,11.53979,7005146864,5,0.93139654
35,7.456922,4894652800,5,0.90204746
36,2.4263024,2811024921,2,0.3633543
37,-7.1486883,2382161218,2,0.5610755
38,-7.950049,10233397332,2,0.48693717
39,-6.2476726,10385832002,1,0.04275117
40,6.8629336,6470159124,5,0.9372794
41,10.816145,6863608610,0,0.59185165
42,7.405702,4103381931,4,0.27758983
43,-9.47348,5555374339,4,0.65375143
44,9.116853,4901703081,0,0.58661425
45,-1.2290893,5559857798,2,0.4196792
46,1.9043859,2265210016,0,0.6921914
47,-1.0204432,4898954287,1,0.14106888
48,13.7477455,2766093324,3,0.7703568
49,-6.189659,2943259977,4,0.66992366
50,0.6474754,9564108949,2,0.322164
51,-7.0110292,9325822987,1,0.32363448
52,-10.776215,9436373998,2,0.5042289
53,-10.559069,6587330295,2,0.58807343
54,4.8858232,10777360607,2,0.40089074
55,11.102831,9064420721,3,0.49821523
56,2.6614125,2000320511,5,0.90346146
57,-3.9050322,8699265245,1,0.23297335
58,-9.52569,9713356677,1,0.14538807
59,5.269206,8433574682,2,0.37332043
60,-7.9378147,8031152883,1,0.27139276
61,-5.7222548,8667739972,5,0.88706076
62,-7.1657376,9433775823,2,0.7613997
63,11.300585,4894099030,5,0.92145246
64,18.556173,7749001339,0,0.6522699
65,12.989305,6338084813,5,0.94996387
66,-3.805876,5967869159,4,0.6863305
67,-6.611677,7127169536,4,0.853512
68,10.799451,4631587100,2,0.40907276
69,-3.0621834,2784536458,2,0.35218835
70,7.335236,8426457202,3,0.7539131
71,8.714252,6954138471,3,0.7343288
72,-7.727847,5820248545,1,0.06981857
73,-6.3641777,2794324626,1,0.14837332
74,3.7661338,6319165364,3,0.8154512
75,9.253974,3553040114,3,0.79292554
76,11.530987,6071002571,5,1.0
77,-9.147689,1871083634,2,0.59081215
78,16.478674,8162926585,3,0.7022211
79,-3.6554368,8162724773,1,0.1293379
80,-1.3036249,9693993888,1,0.102246106
81,-9.038623,1355353416,2,0.3406326
82,0.74641055,2941450965,1,0.21780089
83,-8.530614,7376681266,1,0.22681823
84,11.815151,6727707402,5,0.9810756
85,-16.290913,2393072590,4,0.47715586
86,-11.120879,6304480933,2,0.4568889
87,3.784061,4998968657,2,0.44284722
88,2.865088,5440725539,3,0.65761024
89,3.9022462,7596408655,2,0.5026487
90,-16.332006,12096423448,2,0.43776965
91,-8.333361,5946435945,2,0.33242399
92,21.62156,5030934894,0,0.621254
93,8.433311,581269104,0,0.562016
94,-6.421983,3838453224,4,0.8337074
95,-1.4667246,7080011540,4,0.9931239
96,-4.77203,5811964208,4,0.7757617
97,-11.888498,9044860809,1,0.15770723
98,9.377894,7093312668,2,0.399175
99,6.256959,4658704935,5,0.8732322
100,-0.16193981,5518462989,2,0.49871522
101,-8.705667,9305175648,1,0.0
102,7.170675,5183958497,5,0.92313987
103,15.094119,8812955701,3,0.81485325
104,-7.494177,8925835044,4,0.76141274
105,0.3979989,6835448627,4,0.74745363
106,13.942268,9313904994,0,0.5974802
107,3.2790604,3451925999,4,0.64014995
108,11.195667,8555081562,3,0.79996747
109,-2.8191779,3562683747,1,0.107774675
110,15.667152,9955077443,0,0.6682682
111,9.8001175,2691216687,3,0.7611863
112,-12.317493,5027707310,2,0.42607042
113,-10.926492,9959036455,1,0.30756977
114,8.449188,7754267380,5,0.89340705
115,17.509563,6960819407,0,0.61684835
116,-0.87256,1860849071,4,0.94915485
117,-1.480243,6599434719,1,0.11548322
118,5.561836,8569545096,3,0.74682665
119,8.485541,7513337532,5,0.9437815
120,-3.4176276,6865106887,4,0.6487949
121,19.217403,5678158929,0,0.5855323
122,1.2779151,6868083553,5,0.8483245
123,0.44479176,6864239823,1,0.1776542
124,-12.755593,11535807268,1,0.258376
125,-11.095405,7764025070,2,0.6371513
126,7.0548043,4745391239,2,0.50008065
127,11.622703,5172856907,3,0.7144443
128,6.004537,8250838107,4,0.570649
129,12.807542,6215261157,5,0.8664219
130,12.966903,4128168185,3,0.8131021
131,11.013359,7598944094,0,0.5512966
132,-0.75258726,4500625975,4,0.7161336
133,1.6307096,2531382941,2,0.43752068
134,-9.164693,11148945620,2,0.4305218
135,7.656819,5841191392,4,0.5577874
136,19.236862,3071821363,0,0.60969204
137,-0.39569914,9699181718,2,0.3185756
138,2.4916205,11300586881,1,0.17046812
139,0.11800771,5657377775,4,0.83139783
140,8.39792,6990442710,3,0.78699386
141,18.991787,3321512871,0,0.6020369
142,5.6398926,8397489616,5,0.8929605
143,20.532663,3318098685,0,0.6222685
144,6.9935026,4917818123,3,0.8240777
145,3.8412948,2952921287,5,0.94508916
146,13.459489,8056670717,3,0.76729244
147,9.996621,4652741916,3,0.75922304
148,3.9024932,7779018215,3,0.5176304
149,15.0858965,7519281846,0,0.68773353
150,-8.900889,10232774484,1,0.24670121
151,-13.816357,1741880754,2,0.34627807
152,-7.3723736,5286808967,2,0.40154243
153,-4.4374456,9591824376,2,0.4532991
154,15.957489,1767970698,0,0.623096
155,4.249627,4747551307,5,0.8446417
156,-3.1729116,2658622850,2,0.55009115
157,1.4504409,4258012626,2,0.37442273
158,7.094995,4763290954,2,0.38709253
159,-0.25108495,4649033739,4,0.76961607
160,-4.6552234,4897868300,2,0.3432255
161,9.449531,6072163858,0,0.54631126
162,11.584585,9332470301,3,0.84924126
163,12.163306,4377172237,0,0.47895396
164,1.2067866,3967737366,4,0.70079446
165,-12.038882,6808822423,1,0.24075815
166,8.140939,7737830615,5,0.9500738
167,-0.26385656,10612113306,2,0.33466798
168,2.7435765,9706704572,2,0.49806115
169,-10.944555,7761467415,4,0.8143999
170,17.459835,3212168258,0,0.5375755
171,8.18561,2384835419,2,0.2153481
172,20.838116,3316829317,0,0.6180625
173,-6.7700324,8007159085,1,0.2781896
174,-4.908299,6287969093,1,0.04100072
175,9.061256,6560393279,2,0.3886976
176,-8.721263,5030753310,3,0.70594054
177,12.520857,9195535751,3,0.86079043
178,-5.552214,6716728002,4,0.86340505
179,-8.472559,6072457024,2,0.4836188
180,-9.866822,6966836909,4,0.74792933
181,-4.7401156,5133386197,1,0.1366187
182,10.911827,6984915325,5,0.92382514
183,-6.2202516,8785077503,1,0.21715584
184,-4.099114,9836078524,1,0.26911902
185,-8.772469,5291064510,2,0.51795655
186,8.219316,6738362915,0,0.5827094
187,-14.499973,3975932472,2,0.42129034
188,-9.105093,12467384269,1,0.14849672
